"","id","fire_name","fire_year","spsm_dc","spsm_ffmc","spsm_dmc","spsm_isi","spsm_bui","spsm_fwi","area_ha","area_m2","prov","defoliated","tsd","cumltve_yrs","rbr_cv","rbr_extreme","rbr_median","slope10","slope1","slope2","pre_fire_temp","pre_fire_precip","post_fire_temp","post_fire_precip"
"65",107,"QC_59_1986",1986,238.019888721854,82.5956838984117,1.55009761970201,1.90188579779417,2.7955820396092,1.23187652768255,5468.8444035047,54688444.035047,"QC",0,0,0,1.25566624940757,420.004137834183,59.855447519472,-1.60782657954884,14.8455007782802,-23.0322785971896,7.93,4225.9361,8.45,4225.9361
"66",70,"QC_59_1986",1986,238.019888721854,82.5956838984117,1.55009761970201,1.90188579779417,2.7955820396092,1.23187652768255,178.00097154507,1780009.7154507,"QC",1,8,3,0.973874559612023,427.928788481355,188.152800913122,-1.24074757724826,15.9401975310127,-24.9917431815835,7.93,4225.9361,8.45,4225.9361
"67",108,"QC_63_1987",1987,256.731287893073,83.1730776136006,1.19769524312084,2.145541836317,2.20736425019802,0.896818682505106,551.58738245744,5515873.8245744,"QC",0,0,0,1.29895694504665,515.909303046332,43.8294794449994,1.1267292550914,22.2977553922987,-15.2472598617578,8.72,4503.0976,9.23,4503.0976
"68",71,"QC_63_1987",1987,256.731287893073,83.1730776136006,1.19769524312084,2.145541836317,2.20736425019802,0.896818682505106,851.31450923241,8513145.0923241,"QC",1,10,3,1.40487974947592,507.99717023515,27.6797070214977,0.0246341866211845,19.5757666962365,-14.359816750672,8.75,4526.9151,9.27,4526.9151
"69",109,"QC_103_1988",1988,261.626042916065,83.5272697638655,2.18574103467293,2.10787392504092,3.64157901875248,1.80401000846958,4.7347014717357,47347.014717357,"QC",0,0,0,1.19758419134222,418.203076644656,82.1371585647142,-8.8456736488147,-15.1351089741129,-29.5088929596115,9.06,4818.6645,9.27,4818.6645
"70",72,"QC_103_1988",1988,261.626042916065,83.5272697638655,2.18574103467293,2.10787392504092,3.64157901875248,1.80401000846958,408.86380492149,4088638.0492149,"QC",1,11,1,1.25532980448959,507.796301436751,91.6876870584504,-7.24257064975017,-11.1598821468931,-28.0167808417501,8.92,4782.4824,9.14,4782.4824
"71",110,"QC_107_1988",1988,262.887179300114,83.4856576719304,2.11467760725936,2.09876585692499,3.51685775214636,1.7235403475546,39.631396237373,396313.96237373,"QC",0,0,0,-1.03568175846809,43.8651008605957,-58.3030891418457,-5.24759559032531,-5.65986265407654,-29.4146990668757,8.99,4721.0796,9.2,4721.0796
"72",73,"QC_107_1988",1988,262.887179300114,83.4856576719304,2.11467760725936,2.09876585692499,3.51685775214636,1.7235403475546,63.193963327394,631939.63327394,"QC",1,11,1,-0.955425600745392,22.1820039749146,-94.1254818725586,-5.0501181250419,-7.18971400329532,-25.6020205837736,8.98,4768.4726,9.19,4768.4726
"73",111,"QC_122_1988",1988,259.284973533431,83.7201722594456,2.24435712088857,2.14562765651271,3.74064145368581,1.82755465174668,336.667860084587,3366678.60084587,"QC",0,0,0,1.45583646669812,363.772054292247,44.0198926678328,-0.99195716600393,-0.831697764433507,-11.5702404681868,8.53,4810.9194,8.86,4810.9194
"74",74,"QC_122_1988",1988,259.284973533431,83.7201722594456,2.24435712088857,2.14562765651271,3.74064145368581,1.82755465174668,64.343552770164,643435.52770164,"QC",1,11,1,1.41181078445169,396.284200505934,44.0212573156463,-0.97451909874695,-1.0344425669547,-10.7499863161461,8.53,4810.9194,8.86,4810.9194
